content,score
"bisa ga sih perbaiki bug yang ada di tiktok ini, kdg gmw masuk ke apk nya lah, kdg loading nya lama bgt pdhl jaringan sy bagus, tolong lah tiktok, saya lagi pengen nonton malah ke ganggu gara² harus hapus apk lu dlu, jadi sekali lagi TOLONG PERBAIKI BUG YANG ADA DI TIKTOK INIII !!!",2
"aplikasi nya sudah baguss bgt, lebih dari bagus malahan tpii ada satu masalah saat saya ingin membuka aplikasi ini, kdang suka tulisan 'tidak ada internet"" pdahal waktu saya cek wifi tidak ada masalah, klo diperbaiki saya akan kasih bintang lima😉",4
"aplikasi ini bagus sekali, cuma kalau belanja di tiktok shop sering mengecewakan bikin kapok mending di merchant lain 1-2 hari paling telat 3 hari sampai kalau di tiktok shop sering ga jelas hampir seminggu baru di hubungi padahal status pengiriman sedang di kirim dari hari 2 dan ke 3 tapi status pengiriman gagal sedangkan saya coba hubungi nomor yang tertera di pesanan WhatsApp tidak aktif nomor telepon tidak tersambung sudah hampir satu Minggu atau 6hari lebih baru di hubungi kan lucu (curhat)",1
kenapa sekarang jadi suka ngeleg si setelah update hp aku sering mulai ulang sendiri mati berkali-kali kalo ngebuka tiktok padahal awal awal ga pernah loh kaya gini udah muak banget lagi kadang harus di bersihkan cache nya dulu lagi biar bisa buka schroll keccewa si sama tiktok sekarang. kalo hpku uda kemulai ulang berkali-kali bisa mbuka lagi ya ngedowlodn ulang apk tiktoknya baru ga ngeleg lagi tapi ya masa aku harus terus terusan kaya gitu ga mungkin kan🤷🏻‍♀️pasti ga cuma aku yang ngerasa.,1
Tolong kepada pihak tiktok mengapa masih ada satu bug yang saya alami yaitu ketika saya sedang melakukan pencarian video ketika saya memutar video di pencarian tersebut suaranya tidak bisa berhenti terputar padahal saya sudah tidak menonton video tersebut tolong atasi bug ini.,5
"kenapa sekarang setiap kali upload video malah jadi burik,padahal video aslinya jernih HD,, katanya harus setting dulu di aplikasi nya,,udah di setting hasilnya tetep aja burik,tidak bisa upload video dengan resolusi aslinya.mohon di perbaiki Min. tetapkan resolusi video tanpa di kompres.",3
"apk nya bagus, cumaa yang bikin ga suka nya itu kalau nge buka apk nya suka nge bug, stuck di logo tiktok nya doang, abis itu hp ku malah mati, harus bolak balik download ulang, cape banget padahal waktu awal awal main tiktok ga gini, kenapa sekarang jadi begini? perbaiki lagi apk nya.",3
"Saya ingin memberikan masukan mengenai tombol ""Tidak Suka"" (dislike) yang muncul di bagian kanan layar video. Saya merasa terganggu dengan keberadaan tombol tersebut karena secara tidak sengaja bisa terpencet, dan itu membuat pengalaman menonton saya jadi kurang nyaman. Saya berharap TikTok bisa memberikan opsi untuk menyembunyikan atau menonaktifkan tombol ""Tidak Suka"" di video, atau setidaknya memberikan kontrol bagi pengguna yang tidak ingin fitur tersebut aktif. Terima kasih atas perhatian",5
"tiktok itu keren, tapi bug sama lag nya ga main"", baru masuk apk kadang lag parah, tiba"" keluar sendiri, mau buat vidio, efeknya gabisa dipake, otomatis hitam sama ngefreze, kenapa ya?, tolong diperbaiki ya tiktok, kmu itu bagus kalo ga LAG",3
"setiap ingin bikin vidio tiktok ngebug dan semua filter filter tiktok ngebug dan tidak bisa digunakan dan tidak bisa foto di tiktok juga saya sudah sering update aplikasi tiktok tapi tidak ada perubahan, tolong perbaikan nya saya cape sekali meng update nya, menguji kesabaran...",1
